_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
149,David and Mary Thomson C.I.,937,87.0,1.0,94.7,1.0,43.75360656,-79.25957913
150,David Hornell Jr School,140,91.4,4.3,91.4,4.3,43.61933328,-79.48889366
151,David Lewis P.S.,344,95.1,0.0,95.9,0.0,43.80919671,-79.31788606
152,Davisville Jr P.S.,304,96.1,2.0,95.7,2.0,43.690769,-79.436797
153,Daystrom P.S.,235,96.6,0.0,98.3,0.0,43.74794693,-79.54696329999999
154,Deer Park Jr & Sr P.S.,404,91.6,3.2,94.1,3.2,43.68965195,-79.39155638
155,Delphi Secondary Alternative,84,79.8,3.6,94.0,3.6,43.79961824,-79.2779223
156,Delta Senior Alternative,60,88.3,10.0,88.3,10.0,43.65868159,-79.41884372
157,Denlow P.S.,259,96.5,3.1,96.5,2.7,43.74583949,-79.36422773
158,Dennis Avenue Community School,54,90.7,3.7,94.4,3.7,43.68441954,-79.48728632
159,Derrydown P.S.,231,94.8,2.2,94.8,2.2,43.75868993,-79.49371018
160,Dewson Street Jr P.S.,300,93.3,5.3,93.7,5.3,43.65654907,-79.42458469
161,Diefenbaker Elementary,247,91.9,4.5,94.7,4.5,43.69505953,-79.33214394
162,Dixon Grove JMS,594,89.9,0.3,93.9,0.3,43.68470917,-79.55595464
163,Don Mills C.I.,935,86.5,1.9,95.7,1.9,43.73595929,-79.33927715
164,Don Mills Middle School,409,88.8,2.4,93.4,2.4,43.73685277,-79.3404328
165,Don Valley Jr H.S.,363,92.6,0.6,96.4,0.6,43.78953291,-79.35496656
166,Donview Middle Health & Wellness Academy,356,85.4,1.7,92.4,1.7,43.76418772,-79.33143831
167,Donwood Park Jr P.S.,449,90.9,2.2,91.5,2.2,43.75697831,-79.26236511
168,Dorset Park P.S.,159,91.8,0.6,96.2,0.6,43.75021495,-79.27986197
169,Dovercourt P.S.,293,91.8,2.7,93.2,2.7,43.66673561,-79.43577895
170,Downsview P.S.,121,95.9,1.7,95.0,1.7,43.73111384,-79.4824358
171,Downsview S.S.,501,79.2,2.0,90.2,2.0,43.73039575,-79.47965761
172,Downtown Alternative School,66,92.4,6.1,90.9,6.1,43.64773613,-79.37041565
173,Downtown Vocal Music Academy of Toronto,47,87.2,6.4,89.4,6.4,43.65122054,-79.40263666
174,Dr Marion Hilliard Sr P.S.,269,89.6,1.5,96.3,1.5,43.80368608,-79.22482183
175,Dr Norman Bethune C.I.,932,90.1,0.2,98.0,0.2,43.81216214,-79.31942841
176,Drewry S.S.,49,81.6,2.0,89.8,2.0,43.78698147,-79.42121369
177,Driftwood P.S.,240,90.4,0.4,92.1,0.4,43.76255571,-79.51513769
178,Dublin Heights EMS,631,91.0,3.3,91.9,3.5,43.74909669,-79.44772492
179,Duke of Connaught Jr & Sr P.S.,695,94.2,3.0,96.0,3.0,43.66639455,-79.32204300000001
180,Dundas Jr P.S.,206,95.1,2.4,94.2,2.4,43.66207775,-79.34868633
181,Dunlace P.S.,209,96.7,1.9,95.7,1.9,43.76245942,-79.37035733
182,Earl Beatty Jr & Sr P.S.,277,95.3,4.3,94.9,4.3,43.68601803,-79.32156563
183,Earl Grey Sr P.S.,452,89.6,2.4,96.7,2.4,43.67680529,-79.33992929
184,Earl Haig P.S.,372,94.4,2.4,96.8,2.4,43.68133145,-79.32125047
185,Earl Haig S.S.,1810,87.3,1.2,96.6,1.2,43.76953933,-79.4073635
186,East Alternative School of Toronto,62,91.9,3.2,96.8,3.2,43.67180637,-79.33847625
